Usuario,Email,Genero,Edad,Ciudad,Estrato,Referencia_producto,Estado_civil,Acepta_envio_mail,Valor_Compra
1234,1234@hotmail.com,masculino,22,medellin,3,A,soltero/a,SI,89891
1235,1235@hotmail.com,femenino,26,cali,3,D,casado/a,SI,26425
1236,1236@hotmail.com,masculino,40,bogota,3,C,divorciado/a,SI,84327
1237,1237@hotmail.com,masculino,42,bogota,4,B,soltero/a,SI,86813
1238,1238@hotmail.com,femenino,50,bogota,4,B,soltero/a,SI,52911
1239,1239@hotmail.com,masculino,45,bogota,5,B,soltero/a,SI,66820
1240,1240@hotmail.com,masculino,45,cali,5,C,soltero/a,SI,29167
1241,1241@hotmail.com,femenino,70,cali,6,C,casado/a,SI,52574
1242,1242@hotmail.com,masculino,71,medellin,6,C,soltero/a,SI,92564
1243,1243@hotmail.com,masculino,75,medellin,6,C,soltero/a,SI,46439
1244,1244@hotmail.com,femenino,37,medellin,6,D,soltero/a,SI,71914
1245,1245@hotmail.com,masculino,70,cali,4,C,soltero/a,SI,24984
1246,1246@hotmail.com,masculino,65,bogota,4,D,soltero/a,SI,21477
1247,1247@hotmail.com,femenino,38,bogota,3,D,casado/a,SI,28168
1248,1248@hotmail.com,masculino,37,bogota,5,D,divorciado/a,SI,87931
1249,1249@hotmail.com,masculino,43,bogota,5,C,soltero/a,SI,81802
1250,1250@hotmail.com,femenino,63,cali,6,B,soltero/a,SI,47567
1251,1251@hotmail.com,masculino,49,cali,6,B,soltero/a,SI,54501
1252,1252@hotmail.com,masculino,70,bogota,3,B,soltero/a,SI,36768
1253,1253@hotmail.com,femenino,43,bogota,3,C,casado/a,SI,73628
1254,1254@hotmail.com,masculino,53,bogota,4,C,soltero/a,SI,41487
1255,1255@hotmail.com,femenino,42,bogota,4,C,soltero/a,SI,86167
1256,1256@hotmail.com,masculino,31,cali,3,C,soltero/a,SI,62143
1257,1257@hotmail.com,masculino,30,cali,3,D,soltero/a,SI,82399
1258,1258@hotmail.com,femenino,46,bogota,3,C,soltero/a,SI,99011
1259,1259@hotmail.com,masculino,36,bogota,4,A,casado/a,SI,89596
1260,1260@hotmail.com,masculino,26,bogota,4,A,divorciado/a,SI,40542
1261,1261@hotmail.com,femenino,67,bogota,5,D,soltero/a,SI,93529
1262,1262@hotmail.com,masculino,33,cali,5,C,soltero/a,SI,82055
1263,1263@hotmail.com,masculino,46,barranquilla,6,B,soltero/a,SI,95062
1264,1264@hotmail.com,femenino,48,bucaramanga,6,B,soltero/a,SI,44800
1265,1265@hotmail.com,masculino,55,medellin,6,B,casado/a,SI,70365
1266,1266@hotmail.com,masculino,50,medellin,6,C,soltero/a,SI,54210
1267,1267@hotmail.com,femenino,55,bogota,6,C,soltero/a,SI,74954
1268,1268@hotmail.com,masculino,44,bogota,6,C,soltero/a,SI,26112
1269,1269@hotmail.com,masculino,62,cali,6,C,soltero/a,SI,95473
1270,1270@hotmail.com,femenino,22,cali,6,D,soltero/a,SI,40677
1271,1271@hotmail.com,masculino,53,bogota,6,C,casado/a,SI,83369
1272,1272@hotmail.com,masculino,25,bogota,6,A,divorciado/a,SI,20610
1273,1273@hotmail.com,femenino,49,bogota,6,A,soltero/a,SI,34527
1274,1274@hotmail.com,masculino,64,bogota,6,D,soltero/a,SI,42939
1275,1275@hotmail.com,femenino,35,cali,6,C,soltero/a,SI,85660
1276,1276@hotmail.com,masculino,55,barranquilla,6,B,soltero/a,SI,98307
1277,1277@hotmail.com,masculino,61,bucaramanga,6,B,casado/a,SI,43859
1278,1278@hotmail.com,femenino,50,medellin,6,B,soltero/a,SI,23897
1279,1279@hotmail.com,masculino,69,medellin,6,C,soltero/a,SI,63643
1280,1280@hotmail.com,masculino,21,bogota,6,C,soltero/a,SI,87536
1281,1281@hotmail.com,femenino,22,bogota,6,C,soltero/a,SI,98179
1282,1282@hotmail.com,masculino,68,cali,6,C,soltero/a,SI,32572
1283,1283@hotmail.com,masculino,54,cali,6,D,casado/a,SI,21004
1284,1284@hotmail.com,femenino,66,bogota,6,C,divorciado/a,SI,87626
1285,1285@hotmail.com,masculino,68,bogota,6,A,soltero/a,SI,43326
1286,1286@hotmail.com,masculino,66,bogota,6,A,soltero/a,SI,27630
1287,1287@hotmail.com,femenino,25,bogota,6,D,soltero/a,SI,57431
1288,1288@hotmail.com,masculino,27,cali,6,C,soltero/a,SI,23231
1289,1289@hotmail.com,masculino,68,barranquilla,6,B,casado/a,SI,82608
1290,1290@hotmail.com,femenino,39,bucaramanga,6,B,soltero/a,SI,41948
1291,1291@hotmail.com,masculino,51,medellin,6,B,soltero/a,SI,23811
1292,1292@hotmail.com,masculino,35,medellin,6,C,soltero/a,SI,90004
1293,1293@hotmail.com,femenino,39,bogota,6,A,soltero/a,NO,47098
1294,1294@hotmail.com,masculino,36,bogota,6,C,soltero/a,SI,80880
1295,1295@hotmail.com,femenino,64,cali,6,C,casado/a,SI,37308
1296,1296@hotmail.com,masculino,57,cali,6,D,divorciado/a,SI,56650
1297,1297@hotmail.com,masculino,53,bogota,6,C,soltero/a,SI,48999
1298,1298@hotmail.com,femenino,25,bogota,6,A,soltero/a,SI,81611
1299,1299@hotmail.com,masculino,27,bogota,6,A,soltero/a,SI,70719
1300,1300@hotmail.com,masculino,69,bogota,6,D,soltero/a,SI,88016
1301,1301@hotmail.com,femenino,56,cali,6,C,casado/a,SI,51695
1302,1302@hotmail.com,masculino,44,barranquilla,6,B,soltero/a,SI,50681
1303,1303@hotmail.com,masculino,52,bucaramanga,6,B,soltero/a,SI,76039
1304,1304@hotmail.com,masculino,21,medellin,6,A,soltero/a,SI,46118
1305,1305@hotmail.com,femenino,21,medellin,6,C,soltero/a,SI,24863
1306,1306@hotmail.com,femenino,53,bogota,6,C,soltero/a,SI,61382
1307,1307@hotmail.com,masculino,55,bogota,6,C,casado/a,SI,65683
1308,1308@hotmail.com,masculino,38,cali,6,C,divorciado/a,SI,42548
1309,1309@hotmail.com,femenino,37,cali,6,D,soltero/a,SI,68103
1310,1310@hotmail.com,masculino,56,bogota,6,C,soltero/a,SI,75990
1311,1311@hotmail.com,masculino,58,bogota,6,A,soltero/a,SI,81606
